Scan;Piastra;n_seme;Time Germinazione;Area_T0;Area_T25;Area_T50;Area_T75;Area_T100;Area_T125;;
1;1;1;85;70,83;70,11;74,84;75,48;81,00;86,84;;Legenda
1;1;2;92;70,65;77,68;82,60;83,10;92,25;96,30;;0 = non germinato
1;1;3;0;62,80;79,48;80,17;82,32;81,98;82,33;;
1;1;4;72;74,56;77,23;78,10;84,05;87,33;101,29;;
1;1;5;110;77,25;83,88;86,14;87,37;88,23;93,27;;
1;1;6;134;77,75;75,86;80,43;92,75;91,21;93,77;;
1;1;7;105;67,04;74,10;75,31;75,47;77,03;93,89;;
1;1;8;113;72,51;74,37;75,29;87,07;86,25;91,28;;
1;1;9;0;67,39;53,94;64,45;78,71;83,40;86,27;;
1;1;10;85;76,56;76,06;79,08;91,71;94,35;105,27;;
1;2;1;128;66,19;69,86;73,22;75,58;77,46;79,77;;
1;2;2;113;64,07;70,18;81,85;81,66;82,37;84,67;;
1;2;3;95;59,91;64,94;66,01;67,06;67,15;76,75;;
1;2;4;105;65,59;62,40;70,26;78,98;79,18;93,69;;
1;2;5;97;68,58;61,39;71,36;73,93;83,76;88,18;;
1;2;6;128;75,73;82,44;91,88;87,92;90,69;94,91;;
1;2;7;110;68,38;73,77;74,77;81,43;85,31;89,04;;
1;2;8;103;67,96;63,77;69,31;79,57;80,66;88,68;;
1;2;9;115;67,56;70,88;79,51;78,17;79,81;85,48;;
1;2;10;99;71,83;82,59;83,03;80,72;85,41;87,06;;
1;3;1;0;51,71;68,73;69,31;63,86;70,65;74,50;;
1;3;2;99;65,42;72,28;81,83;80,42;83,19;86,27;;
1;3;3;114;73,85;64,72;73,25;82,36;87,78;98,46;;
1;3;4;98;70,53;68,13;78,65;80,25;84,41;90,99;;
1;3;5;0;61,25;70,88;77,25;82,79;79,72;90,03;;
1;3;6;109;70,78;70,98;73,04;82,84;83,41;83,98;;
1;3;7;110;69,02;70,85;80,35;82,71;82,59;82,65;;
1;3;8;85;65,69;71,87;73,03;78,67;85,00;90,95;;
1;3;9;112;62,20;56,59;57,28;88,97;92,11;92,38;;
1;3;10;0;70,53;65,41;75,94;77,02;77,98;89,50;;
1;4;1;0;75,68;85,46;87,02;86,54;86,11;86,30;;
1;4;2;131;73,59;77,98;78,04;88,78;86,78;86,52;;
1;4;3;93;64,33;78,28;78,92;77,33;81,34;97,77;;
1;4;4;87;64,81;76,84;83,73;84,00;86,90;97,84;;
1;4;5;105;78,02;91,58;92,81;92,44;91,06;97,17;;
1;4;6;109;67,94;74,33;75,70;89,39;86,52;87,88;;
1;4;7;122;69,04;78,75;79,15;84,47;87,06;92,24;;
1;4;8;124;80,75;82,03;83,86;83,77;82,41;82,94;;
1;4;9;130;71,95;67,29;76,31;76,43;81,91;83,98;;
1;4;10;105;74,10;73,52;83,66;84,42;84,07;87,86;;
1;5;1;134;68,76;77,23;87,64;87,89;87,07;90,57;;
1;5;2;134;70,85;80,22;87,96;87,69;88,25;90,56;;
1;5;3;0;58,99;63,03;64,19;66,60;68,98;78,60;;
1;5;4;114;60,25;62,90;72,95;72,17;75,18;78,93;;
1;5;5;129;57,35;75,47;76,06;76,71;78,89;82,02;;
1;5;6;0;69,66;70,44;71,38;78,70;79,55;80,07;;
1;5;7;134;71,99;82,79;89,54;86,65;90,92;92,77;;
1;5;8;0;63,26;57,58;58,61;77,42;79,45;86,32;;
1;5;9;116;60,27;50,54;55,20;77,78;79,62;88,82;;
1;5;10;121;56,13;62,79;66,48;72,12;72,02;84,70;;
1;6;1;0;74,98;76,13;81,74;80,28;82,99;88,07;;
1;6;2;0;78,01;79,39;80,73;82,65;83,32;85,03;;
1;6;3;0;82,03;79,73;86,62;92,81;92,44;92,01;;
1;6;4;0;68,24;83,78;79,54;82,28;82,30;84,04;;
1;6;5;134;67,55;72,00;75,37;82,33;82,07;83,92;;
1;6;6;0;79,30;70,60;83,51;81,33;83,55;85,33;;
1;6;7;134;64,56;67,43;73,22;76,67;75,99;75,03;;
1;6;8;134;62,70;75,75;76,16;78,28;85,77;86,44;;
1;6;9;110;56,04;64,64;64,94;69,75;71,32;86,52;;
1;6;10;124;74,21;76,88;77,70;78,56;83,16;85,46;;
2;1;1;100;;;;;;;;
2;1;2;85;;;;;;;;
2;1;3;0;;;;;;;;
2;1;4;71;;;;;;;;
2;1;5;93;;;;;;;;
2;1;6;107;;;;;;;;
2;1;7;102;;;;;;;;
2;1;8;103;;;;;;;;
2;1;9;99;;;;;;;;
2;1;10;110;;;;;;;;
2;2;1;72;;;;;;;;
2;2;2;126;;;;;;;;
2;2;3;102;;;;;;;;
2;2;4;103;;;;;;;;
2;2;5;95;;;;;;;;
2;2;6;117;;;;;;;;
2;2;7;86;;;;;;;;
2;2;8;129;;;;;;;;
2;2;9;91;;;;;;;;
2;2;10;103;;;;;;;;
2;3;1;134;;;;;;;;
2;3;2;117;;;;;;;;
2;3;3;103;;;;;;;;
2;3;4;99;;;;;;;;
2;3;5;106;;;;;;;;
2;3;6;111;;;;;;;;
2;3;7;99;;;;;;;;
2;3;8;111;;;;;;;;
2;3;9;115;;;;;;;;
2;3;10;134;;;;;;;;
2;4;1;122;;;;;;;;
2;4;2;0;;;;;;;;
2;4;3;121;;;;;;;;
2;4;4;81;;;;;;;;
2;4;5;120;;;;;;;;
2;4;6;0;;;;;;;;
2;4;7;105;;;;;;;;
2;4;8;134;;;;;;;;
2;4;9;111;;;;;;;;
2;4;10;106;;;;;;;;
2;5;1;134;;;;;;;;
2;5;2;0;;;;;;;;
2;5;3;134;;;;;;;;
2;5;4;117;;;;;;;;
2;5;5;134;;;;;;;;
2;5;6;0;;;;;;;;
2;5;7;0;;;;;;;;
2;5;8;134;;;;;;;;
2;5;9;0;;;;;;;;
2;5;10;0;;;;;;;;
2;6;1;123;;;;;;;;
2;6;2;0;;;;;;;;
2;6;3;134;;;;;;;;
2;6;4;134;;;;;;;;
2;6;5;75;;;;;;;;
2;6;6;134;;;;;;;;
2;6;7;120;;;;;;;;
2;6;8;134;;;;;;;;
2;6;9;0;;;;;;;;
2;6;10;134;;;;;;;;
