salt_group,treatment,timestamp,mean_growth,std_growth,count
High salt,MF,1,0.0,0.0,20
High salt,MF,25,7.581111233178005,0.8698931023583961,20
High salt,MF,50,13.733346377713806,8.15740630169661,20
High salt,MF,75,34.6441870063672,2.0457674722554025,20
High salt,MF,100,35.326445289814686,2.2191086097941493,20
High salt,MF,125,35.463402587530126,2.3219469078667774,20
High salt,No MF,1,0.0,0.0,20
High salt,No MF,25,7.958286595096711,0.9016572492583178,20
High salt,No MF,50,12.398812817654907,6.707321919460944,20
High salt,No MF,75,36.078434445344286,2.005443621405616,20
High salt,No MF,100,37.80603273638927,2.9590565543890017,20
High salt,No MF,125,38.62929645641723,3.5851168795642803,20
Medium salt,MF,1,0.0,0.0,20
Medium salt,MF,25,6.644933475961359,1.6262646112602674,20
Medium salt,MF,50,9.043486143246977,1.7584061628145455,20
Medium salt,MF,75,33.47066351439596,2.5601893533117375,20
Medium salt,MF,100,34.173520674333034,2.98735882801956,20
Medium salt,MF,125,36.53211661515927,5.000332834474148,20
Medium salt,No MF,1,0.0,0.0,20
Medium salt,No MF,25,8.155881720711722,2.3768706942490803,20
Medium salt,No MF,50,15.263737971617175,13.606168857590408,20
Medium salt,No MF,75,37.221073230393415,6.741811773418875,20
Medium salt,No MF,100,40.98442735398819,8.874887319985671,20
Medium salt,No MF,125,42.69795625742265,8.684582472242699,20
No salt,MF,1,0.0,0.0,20
No salt,MF,25,7.7670090145458035,1.7690052497111894,20
No salt,MF,50,10.66306930989709,2.0076498227062816,20
No salt,MF,75,37.693739544225465,8.34445444180697,20
No salt,MF,100,40.3662167081372,8.82473719826487,20
No salt,MF,125,44.17681130779592,9.694069064484124,20
No salt,No MF,1,0.0,0.0,20
No salt,No MF,25,8.932015920788123,3.314304185854234,20
No salt,No MF,50,15.050105158708494,13.142199734059496,20
No salt,No MF,75,37.413422947860155,7.982057616689823,20
No salt,No MF,100,38.8471338761557,7.855010207451137,20
No salt,No MF,125,41.87963920952008,8.508062696026053,20
