scan,piastra,n_seme,timestamp,pixel_area,global_id,percent_growth,salt_group,treatment,group
scan1,6,10,50,30408.5,scan1_50_p6_seed10,9.026209171417303,High salt,No MF,Slow growers at t=50
scan1,6,6,50,33780.0,scan1_50_p6_seed06,9.138490864739996,High salt,No MF,Slow growers at t=50
scan1,6,9,50,29969.5,scan1_50_p6_seed09,10.194139059455088,High salt,No MF,Slow growers at t=50
scan1,6,2,50,34105.5,scan1_50_p6_seed02,10.313096354756285,High salt,No MF,Slow growers at t=50
scan1,5,10,50,27392.5,scan1_50_p5_seed10,10.466991974835665,High salt,No MF,Slow growers at t=50
scan1,6,4,50,34030.5,scan1_50_p6_seed04,10.686290453732314,High salt,No MF,Slow growers at t=50
scan1,5,6,50,31356.0,scan1_50_p5_seed06,10.710565804572337,High salt,No MF,Slow growers at t=50
scan1,5,7,50,34194.0,scan1_50_p5_seed07,10.73365825223854,High salt,No MF,Slow growers at t=50
scan1,6,8,50,33303.0,scan1_50_p6_seed08,10.78105249151753,High salt,No MF,Slow growers at t=50
scan1,6,5,50,33026.0,scan1_50_p6_seed05,10.806911592014764,High salt,No MF,Slow growers at t=50
scan1,6,6,75,41047.5,scan1_75_p6_seed06,32.61877453435213,High salt,No MF,Slow growers at t=75
scan1,6,2,75,41415.5,scan1_75_p6_seed02,33.957046285215256,High salt,No MF,Slow growers at t=75
scan1,6,10,75,37414.0,scan1_75_p6_seed10,34.14363056182998,High salt,No MF,Slow growers at t=75
scan1,6,8,75,40374.0,scan1_75_p6_seed08,34.302441620650654,High salt,No MF,Slow growers at t=75
scan1,6,5,75,40096.0,scan1_75_p6_seed05,34.527763798020466,High salt,No MF,Slow growers at t=75
scan1,5,7,75,41557.0,scan1_75_p5_seed07,34.5779562492916,High salt,No MF,Slow growers at t=75
scan1,6,4,75,41401.0,scan1_75_p6_seed04,34.65929419417792,High salt,No MF,Slow growers at t=75
scan1,6,1,75,40130.5,scan1_75_p6_seed01,34.78144049438278,High salt,No MF,Slow growers at t=75
scan1,6,3,75,40821.5,scan1_75_p6_seed03,35.399184052539056,High salt,No MF,Slow growers at t=75
scan1,5,6,75,38468.0,scan1_75_p5_seed06,35.821343454850386,High salt,No MF,Slow growers at t=75
scan1,6,6,100,41305.5,scan1_100_p6_seed06,33.45233672035281,High salt,No MF,Slow growers at t=100
scan1,6,2,100,41560.0,scan1_100_p6_seed02,34.42442669081735,High salt,No MF,Slow growers at t=100
scan1,6,8,100,40590.5,scan1_100_p6_seed08,35.02261991883441,High salt,No MF,Slow growers at t=100
scan1,6,4,100,41517.5,scan1_100_p6_seed04,35.03821759635713,High salt,No MF,Slow growers at t=100
scan1,6,5,100,40427.0,scan1_100_p6_seed05,35.63831571883912,High salt,No MF,Slow growers at t=100
scan1,5,7,100,41940.5,scan1_100_p5_seed07,35.819880503246495,High salt,No MF,Slow growers at t=100
scan1,6,3,100,40968.5,scan1_100_p6_seed03,35.88676241334704,High salt,No MF,Slow growers at t=100
scan1,5,6,100,38581.5,scan1_100_p5_seed06,36.22208491482037,High salt,No MF,Slow growers at t=100
scan1,6,7,100,35153.5,scan1_100_p6_seed07,37.120177867925264,High salt,No MF,Slow growers at t=100
scan1,5,9,100,38764.5,scan1_100_p5_seed09,37.19761453927693,High salt,No MF,Slow growers at t=100
scan1,6,6,125,41305.5,scan1_125_p6_seed06,33.45233672035281,High salt,No MF,Slow growers at t=125
scan1,6,2,125,41560.0,scan1_125_p6_seed02,34.42442669081735,High salt,No MF,Slow growers at t=125
scan1,6,4,125,41536.0,scan1_125_p6_seed04,35.09838998211091,High salt,No MF,Slow growers at t=125
scan1,6,5,125,40427.0,scan1_125_p6_seed05,35.63831571883912,High salt,No MF,Slow growers at t=125
scan1,5,6,125,38581.5,scan1_125_p5_seed06,36.22208491482037,High salt,No MF,Slow growers at t=125
scan1,6,8,125,40988.5,scan1_125_p6_seed08,36.34655046237775,High salt,No MF,Slow growers at t=125
scan1,6,3,125,41127.0,scan1_125_p6_seed03,36.41248465952437,High salt,No MF,Slow growers at t=125
scan1,5,7,125,42167.0,scan1_125_p5_seed07,36.55337683576483,High salt,No MF,Slow growers at t=125
scan1,5,9,125,38764.5,scan1_125_p5_seed09,37.19761453927693,High salt,No MF,Slow growers at t=125
scan1,6,7,125,35201.0,scan1_125_p6_seed07,37.30545695674221,High salt,No MF,Slow growers at t=125
