scan,piastra,n_seme,timestamp,pixel_area,global_id
scan1,1,1,1,31908.5,scan1_1_p1_seed01
scan1,1,1,10,34278.5,scan1_10_p1_seed01
scan1,1,1,100,43717.0,scan1_100_p1_seed01
scan1,1,1,101,44089.0,scan1_101_p1_seed01
scan1,1,1,102,43085.5,scan1_102_p1_seed01
scan1,1,1,103,43730.5,scan1_103_p1_seed01
scan1,1,1,104,43674.0,scan1_104_p1_seed01
scan1,1,1,105,44022.0,scan1_105_p1_seed01
scan1,1,1,106,43806.5,scan1_106_p1_seed01
scan1,1,1,107,43798.0,scan1_107_p1_seed01
scan1,1,1,108,44158.5,scan1_108_p1_seed01
scan1,1,1,109,44309.0,scan1_109_p1_seed01
scan1,1,1,11,33337.5,scan1_11_p1_seed01
scan1,1,1,110,44649.5,scan1_110_p1_seed01
scan1,1,1,111,44566.0,scan1_111_p1_seed01
scan1,1,1,112,44327.5,scan1_112_p1_seed01
scan1,1,1,113,44588.5,scan1_113_p1_seed01
scan1,1,1,114,44679.5,scan1_114_p1_seed01
scan1,1,1,115,45017.5,scan1_115_p1_seed01
scan1,1,1,116,44798.5,scan1_116_p1_seed01
scan1,1,1,117,46385.0,scan1_117_p1_seed01
scan1,1,1,118,45601.5,scan1_118_p1_seed01
scan1,1,1,119,45470.5,scan1_119_p1_seed01
scan1,1,1,12,33575.5,scan1_12_p1_seed01
scan1,1,1,120,45595.0,scan1_120_p1_seed01
scan1,1,1,121,47465.5,scan1_121_p1_seed01
scan1,1,1,122,45069.5,scan1_122_p1_seed01
scan1,1,1,123,45569.5,scan1_123_p1_seed01
scan1,1,1,124,45624.5,scan1_124_p1_seed01
scan1,1,1,125,45624.0,scan1_125_p1_seed01
scan1,1,1,126,46454.0,scan1_126_p1_seed01
scan1,1,1,127,45211.5,scan1_127_p1_seed01
scan1,1,1,128,46615.5,scan1_128_p1_seed01
scan1,1,1,129,45938.0,scan1_129_p1_seed01
scan1,1,1,13,33584.5,scan1_13_p1_seed01
scan1,1,1,130,45549.0,scan1_130_p1_seed01
scan1,1,1,131,46849.5,scan1_131_p1_seed01
scan1,1,1,132,47554.0,scan1_132_p1_seed01
scan1,1,1,133,46787.5,scan1_133_p1_seed01
scan1,1,1,134,47635.0,scan1_134_p1_seed01
scan1,1,1,14,34685.0,scan1_14_p1_seed01
scan1,1,1,15,33625.0,scan1_15_p1_seed01
scan1,1,1,16,34016.5,scan1_16_p1_seed01
scan1,1,1,17,34014.5,scan1_17_p1_seed01
scan1,1,1,18,34245.0,scan1_18_p1_seed01
scan1,1,1,19,34206.5,scan1_19_p1_seed01
scan1,1,1,2,31907.5,scan1_2_p1_seed01
scan1,1,1,20,34083.5,scan1_20_p1_seed01
scan1,1,1,21,34831.0,scan1_21_p1_seed01
scan1,1,1,22,34266.0,scan1_22_p1_seed01
scan1,1,1,23,34384.5,scan1_23_p1_seed01
scan1,1,1,24,34472.5,scan1_24_p1_seed01
scan1,1,1,25,34151.0,scan1_25_p1_seed01
scan1,1,1,26,34379.0,scan1_26_p1_seed01
scan1,1,1,27,34432.5,scan1_27_p1_seed01
scan1,1,1,28,34380.0,scan1_28_p1_seed01
scan1,1,1,29,35251.0,scan1_29_p1_seed01
scan1,1,1,3,32997.0,scan1_3_p1_seed01
scan1,1,1,30,34798.5,scan1_30_p1_seed01
scan1,1,1,31,34744.0,scan1_31_p1_seed01
scan1,1,1,32,34753.5,scan1_32_p1_seed01
